Company_ID,Climate Risk and Materiality Assessment (%),Community Investment and Social Development (%),Human Rights and Responsible Supply Chains (%),Occupational Health and Safety (%),External Assurance and Verification (%),"Workforce Development, Inclusion and Wellbeing (%)",Sustainable Finance and Transition Investment (%),Sustainability Governance and Oversight (%),Carbon Reduction and Net-Zero Transition (%),Renewable Energy and Energy Systems (%),ESG Reporting Standards and Material Disclosures (%),"Biodiversity, Water and Natural Capital (%)",Emissions Measurement and Reporting Methodology (%),"Resource Use, Waste and Operational Efficiency (%)"
C01,6.5882726,19.175167,11.540411,0.68496877,0.58155453,8.544718,20.110357,4.8594346,7.842286,4.58516,7.789691,1.0727131,5.688142,0.93712604
C02,11.876636,2.2143931,9.278516,1.3787842,1.1706511,9.518898,3.1846433,3.5781293,7.96835,2.3051755,4.160328,3.374055,6.279193,33.712246
C03,11.075358,7.7531657,16.329952,1.9842491,0.4010895,7.097276,1.0462921,3.8524318,18.714323,2.742893,14.120643,6.3840904,2.2329237,6.2653184
C04,7.8122854,1.8728971,1.3143048,16.728514,0.17179716,20.587229,10.056448,7.45385,17.047192,2.7198617,3.3381827,1.1823101,6.9358044,2.7793245
C05,2.5511315,2.092666,13.016737,0.63332796,0.2716369,15.786815,20.227169,11.252746,4.8770094,9.407327,1.1572071,0.86463857,15.9235525,1.938037
C06,4.354597,5.5172505,7.768341,2.6308868,25.437296,11.883792,5.9598556,2.1887252,5.9919033,8.1648,11.594359,0.4981084,3.08042,4.929666
C07,12.52806,4.680295,9.362818,0.5488718,0.61425114,5.363981,2.7260811,3.2243006,10.243676,10.46448,14.168119,7.731864,7.5099454,10.833259
C08,1.4630644,2.3976045,6.435993,6.456938,3.2184913,19.158354,8.854684,4.6391892,5.996523,20.536905,1.6130781,13.47607,3.3625696,2.390538
C09,7.347152,5.2900367,6.5655603,14.446868,0.123215824,26.744144,8.8189945,1.33803,7.9209223,1.3285295,9.559159,1.0980996,7.308358,2.11093
C10,20.06095,6.1836686,6.136645,1.3913182,0.1510044,4.0861835,3.274994,5.056731,11.861268,12.98751,12.365404,3.2569945,5.997627,7.189707
C11,8.07838,4.4071183,4.581536,1.9595468,0.26922172,16.6443,11.461602,9.298603,10.402666,1.4589005,4.40749,0.865474,25.232393,0.93276834
C12,1.5787723,4.657428,0.8368928,5.9566617,42.136604,10.651064,16.825052,0.59970015,2.6747513,1.8591579,1.138227,1.2262113,5.188025,4.6714497
C13,7.6523266,7.5997233,3.5157456,4.8159294,0.36856037,13.724743,9.111501,2.7940886,12.362362,13.4352,8.07468,5.8638816,5.6398025,5.041458
C14,3.303851,7.6007137,4.519396,10.657456,1.7835839,31.053051,14.876654,5.30707,2.7653255,3.7915483,11.248302,1.5044347,1.2246815,0.363939
C15,5.818865,2.3328707,3.3569493,3.4210894,0.18686995,15.588088,35.794647,4.2505665,4.8054566,1.5097756,2.7463067,2.4436767,15.329555,2.4152827
C16,9.4545145,1.3221235,0.61218935,2.8674395,0.02956992,5.9059267,9.816769,19.960196,6.9813685,1.5043738,10.420103,2.502223,27.700352,0.92285126
C17,16.976604,2.316827,8.381798,0.2828656,0.580009,7.9271636,5.6451955,10.992039,9.405373,0.56513244,21.386082,0.16558538,13.018909,2.3564184
C18,3.8064156,3.4272883,8.698299,6.3584843,0.06745078,45.03562,10.521431,4.569815,3.7495844,2.8934093,3.7529771,0.032132342,6.4068584,0.68023324
C19,42.734608,18.799854,2.2887948,4.3985553,0.7357246,6.5768385,1.113743,1.7054951,4.508091,0.753256,8.016703,1.1322759,2.941578,4.2944837
C20,1.9525514,3.3842292,14.188011,3.3029091,0.49421376,33.87712,3.1732857,3.9352622,4.614915,4.838085,1.8368992,15.976633,6.706339,1.7195476
C21,11.609845,1.2987629,2.5521002,0.4945864,0.08685682,4.603071,19.39099,7.2822533,14.622177,6.2439404,1.6062862,0.12655969,28.570742,1.5118318
C22,1.3812284,7.9873433,0.87157816,6.598448,0.026989004,0.61100096,31.572914,3.498631,34.102894,7.068601,0.4259271,0.046263732,2.194613,3.61357
C23,4.4973826,4.0815754,4.206203,4.785103,0.13875183,15.238401,30.384666,5.9037323,11.268456,5.705586,2.205177,0.84657466,8.235582,2.5028138
C24,22.605883,15.522051,5.134204,5.229434,1.5361924,16.271227,3.6426048,5.909223,5.057246,2.1503103,7.759557,1.3389211,3.919952,3.923195
C25,11.349567,33.874004,1.5126209,5.9490776,1.4431813,2.5037184,2.9753315,1.1828104,9.7253065,4.6899023,5.5170703,0.7912013,0.64984727,17.836365
